sample_id Frac1 Frac2 Frac3
105 0.6428790 0.2123530 0.1447680
202 0.5045780 0.4954120 0.0000100
123 0.6223760 0.3776140 0.0000100
51 0.8136890 0.1444030 0.0419070
195 0.5330870 0.4669030 0.0000100
127 0.7756680 0.2243220 0.0000100
177 0.9999800 0.0000100 0.0000100
119 0.5657630 0.4342270 0.0000100
17 0.0184470 0.0125510 0.9690020
157 0.9999800 0.0000100 0.0000100
200 0.9999800 0.0000100 0.0000100
165 0.9999800 0.0000100 0.0000100
77 0.4496210 0.3207850 0.2295940
198 0.9999750 0.0000150 0.0000100
26 0.9999780 0.0000120 0.0000100
114 0.6486910 0.3436910 0.0076180
88 0.9896070 0.0000100 0.0103830
16 0.0000100 0.0000100 0.9999800
76 0.0566780 0.1565730 0.7867500
118 0.6481080 0.3512470 0.0006450
111 0.9712570 0.0287330 0.0000100
173 0.3522170 0.6477730 0.0000100
100 0.2822790 0.7177110 0.0000100
140 0.9433630 0.0566270 0.0000100
134 0.9705640 0.0294260 0.0000100
139 0.8999690 0.0944620 0.0055690
80 0.9448060 0.0000100 0.0551840
109 0.5111050 0.4888850 0.0000100
120 0.2787730 0.7212170 0.0000100
4 0.0000100 0.0000100 0.9999800
137 0.9999800 0.0000100 0.0000100
132 0.9999800 0.0000100 0.0000100
129 0.9972260 0.0027640 0.0000100
131 0.9999800 0.0000100 0.0000100
149 0.0827160 0.9172740 0.0000100
197 0.4814180 0.5185720 0.0000100
135 0.7269320 0.2405870 0.0324810
138 0.9999800 0.0000100 0.0000100
39 0.9999800 0.0000100 0.0000100
78 0.0444190 0.3094750 0.6461060
110 0.8388840 0.1611060 0.0000100
144 0.7549950 0.2449950 0.0000100
142 0.7782430 0.2185570 0.0032000
79 0.1663380 0.2691780 0.5644830
40 0.4145670 0.5854230 0.0000100
108 0.0000100 0.9999800 0.0000100
159 0.9435520 0.0225990 0.0338490
193 0.9999800 0.0000100 0.0000100
178 0.9790460 0.0000100 0.0209440
99 0.8365280 0.0211540 0.1423190
89 0.2489150 0.3244930 0.4265920
36 0.1428200 0.8101220 0.0470580
113 0.9999800 0.0000100 0.0000100
169 0.4422530 0.4598650 0.0978820
46 0.0000100 0.6289440 0.3710460
47 0.5286400 0.3491150 0.1222450
164 0.5613930 0.3339980 0.1046100
167 0.6811190 0.0000100 0.3188710
52 0.6432120 0.0153800 0.3414080
21 0.4006200 0.3583450 0.2410350
133 0.9154170 0.0746800 0.0099030
35 0.0000100 0.0000100 0.9999800
182 0.7984000 0.1578280 0.0437720
91 0.0000100 0.9999800 0.0000100
152 0.6964830 0.1491420 0.1543750
125 0.8200380 0.0082670 0.1716950
174 0.3853590 0.5536290 0.0610120
124 0.7989930 0.0000100 0.2009970
150 0.8453650 0.0000100 0.1546250
183 0.8209430 0.0000100 0.1790470
186 0.8185340 0.0000100 0.1814560
141 0.6768260 0.1122880 0.2108860
83 0.0000100 0.0000100 0.9999800
84 0.0000100 0.0000100 0.9999800
82 0.8031730 0.0000100 0.1968170
121 0.2588370 0.6888070 0.0523560
28 0.7879140 0.0000100 0.2120760
23 0.9999800 0.0000100 0.0000100
102 0.0000100 0.0000100 0.9999800
10 0.1392930 0.5433290 0.3173780
148 0.6784030 0.1323920 0.1892050
201 0.4858960 0.3245020 0.1896020
106 0.0000100 0.0000100 0.9999800
176 0.2934320 0.3660240 0.3405450
103 0.2829230 0.3811000 0.3359760
116 0.2026760 0.6354660 0.1618570
41 0.2668990 0.3070020 0.4261000
14 0.0000100 0.0000100 0.9999800
86 0.0057330 0.0000100 0.9942570
93 0.2776160 0.4143330 0.3080510
94 0.2651470 0.3889980 0.3458550
49 0.7255890 0.0052610 0.2691500
42 0.5356010 0.4643890 0.0000100
12 0.3134380 0.2572050 0.4293570
92 0.5261620 0.3952200 0.0786180
163 0.0000100 0.6513460 0.3486440
151 0.1552860 0.2403060 0.6044080
3 0.0000100 0.5872110 0.4127790
25 0.9999800 0.0000100 0.0000100
24 0.0516030 0.3681100 0.5802870
156 0.1063120 0.3703670 0.5233210
34 0.6124600 0.0000100 0.3875300
126 0.5558690 0.0000100 0.4441210
85 0.0560260 0.4948510 0.4491230
72 0.0000100 0.0000100 0.9999800
70 0.0000100 0.6406250 0.3593650
162 0.1935190 0.4946870 0.3117940
30 0.9760540 0.0000100 0.0239360
75 0.9988220 0.0000100 0.0011680
172 0.0450710 0.0000100 0.9549190
33 0.0000100 0.4916500 0.5083400
189 0.0218480 0.0000100 0.9781420
185 0.0766440 0.0000100 0.9233460
97 0.0223600 0.0266710 0.9509680
74 0.5567380 0.4331520 0.0101100
1 0.0705990 0.3127390 0.6166620
146 0.1695450 0.0000100 0.8304450
69 0.1003860 0.0000100 0.8996040
71 0.6848450 0.1185480 0.1966070
153 0.0265200 0.0000100 0.9734700
73 0.9999800 0.0000100 0.0000100
5 0.0283830 0.0000100 0.9716070
19 0.9999800 0.0000100 0.0000100
6 0.0000100 0.6647480 0.3352420
8 0.0200230 0.0366290 0.9433480
29 0.9542060 0.0432580 0.0025350
27 0.1615160 0.3045400 0.5339440
180 0.0000100 0.0000100 0.9999800
166 0.4083470 0.0000100 0.5916430
60 0.2591650 0.3938230 0.3470120
154 0.0000100 0.0000100 0.9999800
188 0.0000100 0.0000100 0.9999800
181 0.0000100 0.0000100 0.9999800
192 0.0000100 0.0180440 0.9819460
68 0.0000100 0.0000100 0.9999800
50 0.1054500 0.0000100 0.8945400
67 0.0112350 0.0000100 0.9887550
57 0.0000100 0.0000100 0.9999800
170 0.0000100 0.0000100 0.9999800
184 0.0000100 0.0000100 0.9999800
56 0.0000100 0.0000100 0.9999800
187 0.0000100 0.0000100 0.9999800
63 0.0000100 0.0000100 0.9999800
101 0.0000100 0.0000100 0.9999800
191 0.0000100 0.0000100 0.9999800
55 0.6704830 0.0000100 0.3295070
190 0.0000100 0.0000100 0.9999800
171 0.0000100 0.0000100 0.9999800
43 0.0000100 0.0000100 0.9999800
31 0.8311210 0.0000100 0.1688690
37 0.6668180 0.0177810 0.3154010
160 0.0000100 0.0000100 0.9999800
44 0.1066360 0.8933540 0.0000100
161 0.0158280 0.0000100 0.9841620
66 0.0422660 0.0000100 0.9577240
65 0.0162990 0.0000100 0.9836910
179 0.0000100 0.0000100 0.9999800
58 0.0000100 0.0000100 0.9999800
32 0.7809930 0.0000100 0.2189970
64 0.2273090 0.7693430 0.0033480
54 0.9999800 0.0000100 0.0000100
