sample_id species longitude latitude altitude Frac1 Frac2 Frac3
105 "Zea mays ssp. mays" -111.9864167 26.8904722 5 0.6428790 0.2123530 0.1447680
202 "Zea mays ssp. mays" -105.2216111 21.9460278 20 0.5045780 0.4954120 0.0000100
123 "Zea mays ssp. mays" -105.3902500 21.9909722 24 0.6223760 0.3776140 0.0000100
51 "Zea mays ssp. mays" -98.2166667 16.3000000 50 0.8136890 0.1444030 0.0419070
195 "Zea mays ssp. mays" -105.1493611 20.8741667 54 0.5330870 0.4669030 0.0000100
127 "Zea mays ssp. mays" -106.1319444 23.2538889 86 0.7756680 0.2243220 0.0000100
177 "Zea mays ssp. mays" -92.1965722 14.8202972 100 0.9999800 0.0000100 0.0000100
119 "Zea mays ssp. mays" -105.6068056 22.9492778 113 0.5657630 0.4342270 0.0000100
17 "Zea mays ssp. mays" -92.0888889 17.3222222 120 0.0184470 0.0125510 0.9690020
157 "Zea mays ssp. mays" -97.4556667 20.1265833 126 0.9999800 0.0000100 0.0000100
200 "Zea mays ssp. mays" -92.2045000 14.8737639 159 0.9999800 0.0000100 0.0000100
165 "Zea mays ssp. mays" -92.2169250 14.9017611 191 0.9999800 0.0000100 0.0000100
77 "Zea mays ssp. mays" -98.3463889 21.0638889 194 0.4496210 0.3207850 0.2295940
198 "Zea mays ssp. mays" -99.0210833 24.2901111 199 0.9999750 0.0000150 0.0000100
26 "Zea mays ssp. mays" -96.7833333 18.5000000 201 0.9999780 0.0000120 0.0000100
114 "Zea mays ssp. mays" -108.9119444 26.8436111 204 0.6486910 0.3436910 0.0076180
88 "Zea mays ssp. mays" -106.0816667 23.4308333 209 0.9896070 0.0000100 0.0103830
16 "Zea mays ssp. mays" -105.5463889 22.8897222 220 0.0000100 0.0000100 0.9999800
76 "Zea mays ssp. mays" -98.4361111 21.1333333 225 0.0566780 0.1565730 0.7867500
118 "Zea mays ssp. mays" -107.5618889 25.4012500 226 0.6481080 0.3512470 0.0006450
111 "Zea mays ssp. mays" -99.2550556 24.1278056 231 0.9712570 0.0287330 0.0000100
173 "Zea mays ssp. mays" -106.4261111 23.8461111 258 0.3522170 0.6477730 0.0000100
100 "Zea mays ssp. mays" -108.3833333 26.3947222 299 0.2822790 0.7177110 0.0000100
140 "Zea mays ssp. mays" -104.4500000 19.6000000 300 0.9433630 0.0566270 0.0000100
134 "Zea mays ssp. mays" -99.5344722 24.8589444 334 0.9705640 0.0294260 0.0000100
